Employee ID: 1
First Name: Karl
Last Name: Johnson
Gender: Male
Desingation: Manager  Department: Stocks

Employee ID: 2
First Name: Roger
Last Name: Ferrer
Gender: Male
Desingation: Billing Person  Department: Accounts

Employee ID: 3
First Name: Rafael
Last Name: Morris
Gender: Male
Desingation: Cleaner  Department: Maintenance

Employee ID: 5
First Name: Serena
Last Name: Williams
Gender: Female
Desingation: Billing Person  Department: Stocks

Employee ID: 6
First Name: Ana
Last Name: Ivanovic
Gender: Female
Desingation: Manager  Department: Maintenance

